temperatura,humedad
20,54
18,60
22,58
21,64
18,65
24,61
18,53
24,52
24,55
24,62
18,54
19,58
20,57
25,54
25,53
23,51
19,54
21,64
22,53
24,59
21,59
25,58
24,54
19,58
19,51
21,59
20,62
19,53
19,53
21,62
22,54
18,59
18,53
24,65
23,57
21,54
19,51
18,58
22,65
24,56
25,57
21,60
24,62
23,53
24,63
18,50
23,52
20,51
22,51
21,62
20,53
18,53
23,52
23,51
22,55
22,57
25,50
20,62
18,59
18,61
24,50
23,50
25,57
21,56
21,54
20,54
18,59
21,62
22,51
21,59
21,65
25,50
25,60
20,55
19,55
22,61
21,58
23,52
22,51
18,50
24,50
20,56
18,64
23,62
23,59
19,59
22,53
21,65
18,57
21,53
20,56
22,56
19,57
18,64
20,53
24,63
18,64
19,64
19,55
20,55
21,50
21,55
18,60
20,63
22,54
22,57
22,63
23,65
20,59
22,64
18,61
19,60
19,65
18,51
19,54
23,59
23,60
21,59
24,58
19,52
23,53
19,59
24,60
23,59
25,50
19,52
19,55
20,55
21,63
20,57
20,55
24,61
20,59
25,52
21,51
19,64
22,56
18,52
18,63
25,62
20,57
21,54
25,59
20,51
24,61
25,54
19,64
18,53
25,64
23,61
21,59
24,53
23,63
20,50
25,58
24,57
20,64
19,56
23,50
21,52
19,65
24,50
19,60
22,61
23,64
18,64
22,54
20,62
23,56
22,65
20,55
18,56
22,53
24,59
24,50
18,52
20,55
20,57
18,64
23,63
19,61
19,59
22,54
25,58
23,53
24,50
21,59
25,51
22,50
23,52
21,55
24,59
19,58
19,60
25,53
24,57
24,64
20,63
21,60
25,53
19,58
18,57
25,62
18,65
21,56
21,59
19,65
25,50
25,62
23,58
18,59
23,61
21,55
23,51
22,63
20,51
18,51
18,64
22,62
20,58
19,52
24,54
22,64
25,52
23,50
18,63
18,52
20,63
22,60
25,64
18,52
23,61
18,51
25,63
19,58
24,51
21,62
20,59
18,65
20,55
22,61
23,65
23,57
23,58
21,54
24,61
20,63
22,60
21,55
24,50
23,50
18,65
24,65
23,53
19,50
25,50
25,50
24,55
23,54
20,57
24,56
19,55
23,63
25,53
23,64
19,56
20,52
23,53
21,59
20,53
19,63
19,65
21,58
23,65
21,59
23,64
25,62
24,53
22,59
25,56
23,65
25,61
19,59
19,56
25,63
25,56
23,53
20,63
22,63
25,61
18,54
19,51
18,57
22,56
25,53
23,59
19,56
19,55
24,62
25,65
20,57
19,63
24,50
18,62
25,51
20,52
22,61
18,53
23,65
22,52
18,54
22,64
21,65
24,63
22,65
23,50
20,61
20,52
23,64
20,50
21,52
18,51
18,57
19,55
18,57
24,51
25,59
23,62
22,56
24,53
20,52
21,64
20,50
19,60
21,55
20,60
25,55
19,56
25,50
21,56
22,62
21,55
20,50
19,51
19,65
23,58
22,56
25,58
21,62
22,58
18,53
23,50
23,58
21,60
20,63
24,57
19,58
22,60
18,59
22,59
22,64
23,57
24,58
25,55
24,65
23,60
25,51
22,56
19,52
18,51
18,56
24,50
23,63
25,50
19,65
24,55
25,56
23,54
25,61
21,59
19,50
18,64
25,60
25,62
22,52
19,50
25,52
25,51
20,51
19,56
19,65
19,61
24,57
18,62
24,62
24,53
19,58
18,61
21,56
22,62
22,52
20,62
19,61
21,63
21,64
24,50
19,56
20,63
21,50
18,63
25,51
23,51
18,52
23,56
19,63
20,62
18,59
22,64
24,59
20,62
21,53
20,63
18,61
18,61
21,56
21,55
24,63
25,65
20,54
19,56
22,56
25,65
24,51
22,60
23,64
21,65
22,65
23,62
23,65
19,56
22,50
25,63
20,57
20,55
23,61
22,57
24,57
22,54
25,65
19,65
25,53
23,58
22,51
19,62
21,50
22,51
24,52
25,51
23,52
21,53
22,50
25,54
18,52
19,62
25,62
22,60
25,63
19,58
24,62
19,55
23,50
21,62
23,55
21,52
24,63
23,51
19,62
23,57
22,64
20,51
22,59
18,56
23,55
18,63
24,54
20,50
23,58
21,52
24,65
22,60
19,50
25,62
19,56
20,54
21,54
20,50
18,50
19,50
22,64
21,65
18,60
21,55
19,53
19,55
20,56
24,57
19,52
19,51
19,55
20,63
22,52
19,53
21,51
22,51
19,56
18,50
20,51
22,50
18,53
22,51
22,52
21,56
25,57
21,51
24,63
18,54
22,59
22,59
19,58
19,50
22,59
25,52
21,60
25,51
19,56
18,51
18,55
18,60
20,53
21,57
21,61
25,52
22,61
19,63
23,63
24,57
24,64
23,52
21,54
19,51
25,59
23,58
21,54
22,61
21,63
21,57
22,56
21,52
23,65
25,57
22,55
20,51
22,52
23,57
22,53
23,53
19,53
23,65
24,52
24,62
24,57
20,57
25,60
19,52
20,60
24,55
20,64
20,60
21,57
18,50
24,54
18,52
18,50
21,61
20,64
18,51
24,54
19,54
25,58
25,57
18,54
20,57
21,55
19,52
20,53
25,60
19,50
25,61
18,58
19,50
25,53
24,54
19,51
18,56
18,64
21,62
19,62
25,53
19,55
22,60
20,64
25,51
22,57
22,50
22,54
22,57
25,52
19,56
25,50
22,60
23,58
23,56
21,63
23,51
24,60
22,58
20,62
22,51
23,62
25,60
18,65
25,51
22,51
24,62
22,63
18,52
19,55
19,60
25,64
18,62
23,62
23,63
20,65
23,54
21,65
21,58
20,64
18,59
20,58
24,61
20,54
23,56
20,65
22,55
18,52
25,61
20,56
19,61
20,59
24,61
19,51
24,62
19,53
18,53
25,60
19,54
24,50
19,52
20,53
18,53
24,59
23,59
19,63
24,59
24,61
18,64
23,50
23,59
23,50
20,65
21,63
22,58
23,57
23,62
22,57
20,51
21,56
20,53
18,56
21,65
25,64
18,52
21,56
24,61
24,60
21,59
21,51
25,54
21,50
22,50
21,59
20,57
22,54
19,53
20,63
20,50
18,61
19,59
23,50
24,54
25,62
25,51
19,51
25,65
19,60
21,58
23,52
22,61
20,55
23,56
21,61
20,55
18,51
19,64
20,51
25,65
25,64
20,62
18,56
22,60
21,55
19,50
24,63
18,59
24,63
21,57
20,57
18,53
23,54
21,62
21,56
20,62
20,65
19,55
25,59
19,59
25,65
20,53
25,64
19,63
19,65
20,59
24,52
20,59
23,52
18,64
22,51
22,50
25,58
22,59
18,51
21,54
24,51
23,57
18,58
19,63
25,50
19,51
25,52
22,54
24,59
23,58
19,57
20,56
21,61
21,51
23,51
21,64
20,63
19,59
23,60
22,52
19,52
25,63
18,55
21,51
20,65
24,52
22,56
22,60
24,55
23,62
19,61
18,57
21,64
18,51
24,64
20,54
22,63
20,52
22,52
20,60
25,59
24,65
18,64
22,51
19,58
18,52
24,65
23,54
20,52
18,54
24,51
23,64
21,50
20,62
22,61
23,50
25,65
23,62
20,54
20,61
23,57
24,63
24,60
20,62
20,65
19,63
20,60
23,61
23,59
23,59
24,54
25,53
21,58
18,58
21,54
22,65
24,58
19,57
19,53
18,58
22,60
22,55
24,57
23,53
19,58
25,65
22,62
19,63
20,51
25,60
25,51
23,52
18,64
22,50
24,53
25,57
18,51
21,61
22,58
24,55
18,60
19,60
23,58
24,64
20,63
19,52
20,61
19,56
18,55
20,57
23,52
21,59
20,62
18,60
25,54
22,50
23,53
25,64
21,59
23,54
23,59
19,61
19,64
25,56
22,64
25,54
20,50
23,52
21,65
24,61
24,54
23,56
19,56
20,51
20,59
22,54
20,61
22,58
25,51
18,54
22,62
20,51
21,59
22,60
22,65
24,52
23,62
19,65
25,59
23,56
18,61
18,62
20,58
21,55
18,62
24,57
21,65
22,53
20,65
21,56
24,55
25,58
21,59
24,57
22,65
20,50
25,59
21,54
18,56
20,62
19,50
21,62
20,51
22,56
23,56
18,52
21,55
20,59
18,60
19,52
21,52
23,64
19,50
21,57
19,51
25,61
19,57
23,63
19,55
21,53
22,53
25,53
19,56
18,60
19,63
25,58
21,56
18,60
18,50
19,58
20,57
23,55
25,63
22,61
18,61
24,62
22,59
21,51
23,61
22,50
25,56
22,63
24,61
24,58
23,57
22,58
19,52
19,61
18,61
21,50
25,59
22,58
24,50
21,53
21,54
19,51
20,60
19,53
24,52
23,64
18,62
18,56
18,63
23,64
23,50
19,50
18,56
21,63
23,50
18,50
24,62
23,60
23,58
19,61
18,56
20,51
25,55
24,63
22,58
21,51
20,61
19,54
22,60
25,52
22,61
20,61
19,60
24,59
20,60
19,56
19,61
23,57
20,50
19,59
23,61
22,62
19,63
20,57
20,63
25,61
23,58
22,58
25,53
24,57
22,58
18,57
19,60
23,55
19,52
23,51
24,54
18,62
18,61
20,57
25,61
21,60
22,50
19,54
21,51
18,61
24,53
23,50
20,61
18,61
19,55
20,51
21,51
24,61
24,53
20,63
25,65
18,60
22,51
23,56
24,52
21,51
20,59
19,56
18,64
23,57
25,50
23,57
25,59
20,60
25,65
21,56
22,54
24,63
19,57
20,52
24,52
20,54
24,61
22,58
21,52
20,64
24,53
19,50
22,59
23,63
25,50
21,50
18,59
22,60
20,50
24,63
18,52
21,53
23,54
20,53
18,63
25,61
21,52
18,63
18,53
20,56
18,59
21,57
19,57
25,60
24,50
19,64
23,61
24,62
22,52
19,63
24,55
19,58
21,54
23,55
23,60
19,65
22,55
20,60
23,58
25,51
19,51
24,61
23,60
21,63
22,57
23,52
22,56
20,64
25,50
25,56
21,57
21,52
22,59
19,63
24,53
22,60
18,64
24,57
22,58
24,52
18,65
20,54
25,61
20,65
23,60
23,62
24,61
24,51
21,63
19,60
22,56
20,60
19,53
23,60
25,53
21,65
22,64
18,64
24,56
22,62
22,58
23,60
20,62
21,52
20,59
22,50
21,55
21,56
25,64
19,60
24,53
19,58
20,54
22,64
23,55
20,59
19,64
25,62
25,53
21,56
21,64
18,55
24,59
18,54
21,60
18,53
24,50
21,50
20,51
19,55
19,63
20,60
20,57
25,52
24,59
20,56
22,61
19,63
23,51
20,54
21,53
22,63
22,54
20,51
23,59
21,51
19,52
24,54
24,60
24,62
22,50
18,56
25,54
20,62
19,61
23,51
19,63
20,62
19,63
24,50
20,60
19,58
19,59
22,62
25,53
22,55
22,63
23,50
23,62
23,50
25,50
23,64
18,63
19,56
19,62
21,50
18,62
20,64
20,60
23,65
21,52
18,51
25,50
23,55
22,58
23,55
23,64
22,58
22,61
19,59
21,61
24,65
19,65
18,57
19,60
21,57
21,50
20,56
18,64
22,65
19,51
24,58
20,57
24,59
23,61
23,57
24,53
24,63
21,54
18,50
20,51
24,65
23,57
21,57
18,51
19,62
21,59
18,53
23,54
25,60
20,56
20,61
18,56
18,55
24,61
19,51
23,61
23,64
22,63
23,63
23,51
21,61
18,55
22,55
20,56
22,53
22,62
24,52
19,51
25,51
20,54
20,52
20,65
19,60
20,55
18,52
19,63
18,65
18,61
24,53
19,51
25,64
23,60
20,54
18,51
25,61
19,61
22,58
19,61
25,62
22,51
24,56
23,59
21,52
23,61
24,57
25,50
18,60
20,56
20,51
24,52
21,59
20,58
20,57
18,52
23,52
18,63
20,65
21,60
20,52
24,51
18,52
23,60
24,61
25,59
20,59
24,60
19,57
25,58
25,61
18,58
21,61
20,62
22,53
25,57
25,55
25,65
23,53
21,63
25,57
24,53
24,54
18,65
19,57
20,58
18,60
18,65
23,57
18,58
20,63
22,57
22,64
22,58
22,59
18,52
18,63
25,64
24,60
19,60
20,64
18,55
21,58
20,60
18,52
24,61
19,65
21,61
21,57
22,56
25,60
21,59
22,56
18,51
23,52
21,53
21,57
24,55
25,58
22,64
25,57
25,53
21,62
23,58
22,62
24,55
24,58
20,54
20,60
23,56
19,62
21,59
20,60
25,60
23,55
21,51
24,58
21,57
21,57
21,54
18,65
19,50
18,51
23,63
18,58
25,60
23,60
20,59
23,64
20,57
22,50
23,54
18,56
20,56
19,60
23,60
21,57
20,50
21,60
23,55
20,64
22,54
21,59
18,60
23,51
21,51
22,62
22,50
21,50
25,54
22,56
22,58
21,55
19,61
25,62
24,61
19,59
19,52
25,54
23,56
20,53
25,65
18,60
24,65
20,60
18,52
25,59
19,61
20,62
19,50
19,51
18,62
18,51
19,51
23,51
23,55
20,50
24,63
22,54
23,51
18,55
21,65
25,52
22,55
22,63
24,56
22,65
20,51
21,55
25,55
24,61
21,53
19,64
20,59
19,54
21,53
20,65
21,65
18,60
21,53
19,50
25,63
20,64
20,59
19,59
19,50
20,55
23,55
22,50
20,51
22,61
20,65
18,53
25,52
24,59
23,52
24,56
25,58
23,65
20,60
25,55
18,56
24,50
19,65
21,65
21,59
18,65
22,51
25,64
22,54
24,56
22,65
23,50
22,57
18,65
22,62
22,62
19,62
18,55
20,63
25,57
22,52
18,51
19,61
20,62
22,50
20,55
22,64
24,51
20,59
22,56
18,57
24,57
21,63
21,51
20,55
20,60
23,54
22,65
18,64
19,64
19,60
25,61
24,60
18,55
18,54
20,58
18,65
23,62
23,51
23,64
21,62
18,61
20,54
21,50
18,64
24,65
22,62
19,62
25,56
20,60
18,58
21,52
18,55
21,64
19,63
24,54
23,53
23,56
20,62
22,58
23,64
25,52
25,53
25,55
25,54
23,61
19,57
19,57
25,64
22,52
19,60
25,52
25,57
25,65
24,55
23,54
25,63
18,50
22,64
24,65
21,54
19,57
18,62
23,65
22,60
24,58
24,60
22,53
21,54
21,64
24,60
23,57
25,65
18,51
25,63
23,58
20,56
24,56
22,50
24,54
23,53
22,63
24,55
21,65
22,65
23,53
21,59
24,61
25,63
19,50
25,50
18,51
25,64
24,59
22,65
21,52
24,52
22,57
18,50
24,51
24,54
19,64
25,58
22,65
23,50
18,53
18,51
18,56
24,54
18,63
21,63
23,57
19,51
22,55
22,65
25,65
23,57
22,65
21,58
21,59
20,51
21,55
18,55
21,63
20,62
18,59
25,63
22,54
18,53
21,58
23,61
24,52
20,55
23,50
19,57
22,56
20,60
19,51
18,59
18,59
18,50
21,55
18,54
20,57
20,52
25,61
20,58
25,65
23,54
25,56
18,64
21,54
24,60
18,52
25,55
21,60
21,63
20,50
22,52
18,61
21,55
18,59
24,53
25,60
22,64
21,65
19,60
24,61
19,52
24,57
19,53
25,51
25,56
25,55
24,54
24,63
25,62
22,56
19,59
25,51
22,60
21,58
25,62
25,57
21,57
23,54
21,65
20,52
20,50
18,61
25,50
23,54
21,55
19,52
19,64
22,61
19,55
18,63
23,56
24,51
24,65
19,63
18,62
22,60
23,51
18,60
22,63
19,53
25,64
20,59
22,64
22,56
18,55
19,54
24,55
19,61
19,53
25,61
25,56
21,56
21,59
23,57
18,58
24,51
23,63
25,54
24,56
21,58
23,52
21,57
25,53
24,65
23,55
22,53
18,56
24,57
23,63
20,53
24,60
23,57
21,57
23,54
22,53
19,52
19,55
25,52
19,64
19,64
21,56
25,53
25,52
21,51
24,60
21,61
21,54
24,51
25,54
18,60
21,56
20,57
19,62
24,60
22,60
21,62
19,50
20,64
23,56
19,52
22,52
18,56
24,54
24,53
18,56
23,61
25,64
19,53
19,53
21,63
25,51
21,52
18,51
20,52
19,62
22,63
20,60
24,50
22,57
25,64
20,64
18,50
19,58
22,52
19,63
25,65
25,60
18,62
25,59
24,57
18,61
18,51
22,54
25,60
20,53
23,55
20,58
25,54
20,64
18,63
20,58
18,51
25,60
18,61
19,56
22,53
19,65
22,65
24,59
19,57
21,55
24,53
20,63
20,63
24,63
19,54
18,58
19,54
25,52
25,65
24,50
22,61
18,65
20,56
25,62
20,56
22,63
23,55
21,55
18,62
21,52
19,60
24,52
22,56
18,63
18,64
21,55
18,65
20,58
19,51
20,51
19,51
21,62
23,56
20,50
23,54
18,57
18,59
23,57
25,64
18,61
22,57
23,62
25,56
21,65
22,58
20,59
23,59
22,60
21,53
24,53
21,62
19,64
21,60
23,51
24,52
24,60
22,65
22,53
18,65
21,53
24,55
21,65
21,56
25,60
20,51
23,51
19,58
24,59
22,51
19,53
22,52
18,53
22,51
18,65
21,50
25,63
25,51
18,61
21,64
20,63
25,56
23,52
21,65
23,59
18,61
22,56
19,56
25,59
18,64
22,58
25,60
24,54
24,52
20,55
18,60
18,64
21,50
19,53
22,63
18,62
25,63
20,65
21,63
21,65
20,57
22,58
23,58
24,59
23,55
20,60
21,53
19,55
19,54
20,58
23,55
23,63
19,52
21,65
19,60
22,57
18,63
20,57
22,56
18,62
22,56
19,53
21,53
21,57
21,57
20,52
23,52
19,59
21,51
20,54
23,57
24,52
21,57
24,57
20,57
21,55
21,52
25,63
23,56
25,62
20,52
22,65
22,64
19,50
19,60
21,60
24,56
22,54
24,54
20,52
22,59
18,52
20,61
20,53
19,53
25,59
18,63
18,54
19,63
23,51
25,62
20,65
22,59
22,60
21,64
20,57
24,65
20,63
23,65
19,59
22,61
19,61
18,59
24,61
23,51
24,56
23,53
21,54
23,61
23,59
21,65
21,58
20,51
19,63
19,57
19,56
25,61
18,59
21,65
22,52
24,56
21,52
20,65
22,53
21,63
23,58
20,64
24,50
19,53
18,63
23,59
25,62
20,65
24,52
20,53
22,56
18,51
24,62
18,55
25,61
21,53
22,55
20,52
18,63
24,63
21,59
19,57
24,55
21,64
20,52
18,62
24,55
25,59
18,63
21,50
23,63
19,59
24,61
21,64
24,65
20,56
25,50
22,53
23,53
23,53
20,53
21,53
24,61
19,62
18,53
21,63
21,58
19,58
18,57
23,52
22,54
20,54
24,63
22,60
20,51
24,52
25,56
18,64
18,58
22,56
25,51
21,56
21,61
18,50
21,63
25,65
22,56
19,65
18,65
18,54
19,54
25,51
20,58
23,60
22,57
21,63
25,63
18,51
21,58
20,51
24,54
25,51
25,62
19,65
20,54
20,64
18,60
25,63
25,56
21,50
18,57
18,58
22,59
22,52
19,60
20,60
20,56
25,59
19,54
19,64
25,65
18,57
23,51
21,54
22,57
24,53
23,59
20,52
22,59
20,50
23,65
20,64
23,59
22,52
20,54
21,59
25,59
23,57
21,63
18,62
21,51
21,64
20,52
25,51
22,56
18,53
19,54
24,59
25,50
20,57
22,58
25,51
21,63
24,56
22,63
21,55
22,50
20,57
21,55
19,64
21,57
24,62
20,65
21,61
19,62
20,61
19,65
19,59
20,51
18,54
23,63
21,64
22,58
23,64
20,51
24,51
25,57
19,61
20,59
24,59
18,60
21,63
21,59
18,63
22,60
23,59
19,65
25,56
18,55
24,53
24,58
18,58
21,57
20,58
25,56
18,60
23,56
25,61
21,51
22,51
25,59
20,63
20,63
22,53
23,54
20,50
19,54
23,62
20,52
25,55
24,62
24,65
18,60
25,56
20,61
19,64
19,61
19,65
24,52
21,56
25,57
22,57
25,55
20,65
19,52
24,52
23,62
20,60
22,50
19,55
22,59
18,62
22,65
22,51
19,65
19,52
23,60
20,53
21,65
22,65
25,53
25,50
23,61
19,58
21,56
24,56
25,63
24,52
23,56
25,50
22,65
19,54
25,57
25,64
22,60
24,50
20,51
18,53
18,60
24,64
24,54
21,60
19,61
24,57
23,63
18,50
20,50
19,57
21,58
18,52
21,61
18,56
25,61
19,51
20,54
18,62
22,65
20,56
18,59
22,64
24,57
24,64
25,59
22,50
18,56
22,59
19,64
21,55
23,59
21,52
23,56
22,54
22,53
21,52
22,62
23,61
19,64
21,55
22,59
25,54
22,51
23,64
24,53
19,53
22,52
24,54
23,62
25,64
25,61
21,50
18,63
23,62
23,56
25,58
24,53
24,51
24,60
20,61
20,51
21,56
22,57
20,57
18,62
21,65
19,57
20,51
24,60
22,63
25,61
22,58
19,60
25,65
21,53
18,51
19,55
19,54
22,51
19,63
18,61
18,59
25,57
21,62
18,55
24,55
22,65
21,59
18,50
18,51
23,63
25,56
25,57
21,55
23,60
23,51
19,61
20,60
24,58
21,56
19,51
21,50
18,64
20,54
20,60
21,57
19,51
25,55
25,52
22,59
20,64
25,56
23,57
23,56
25,58
20,55
25,60
20,59
24,65
20,56
20,60
18,58
23,65
19,63
21,56
22,50
22,60
23,58
24,56
18,58
18,54
22,52
22,57
19,51
20,60
23,56
20,60
21,53
25,50
24,65
20,60
25,51
18,52
20,61
21,58
19,54
25,55
21,61
22,61
21,56
22,58
18,56
22,63
21,54
25,55
24,64
25,63
24,57
23,54
24,60
25,59
20,56
22,54
19,53
20,65
19,59
23,58
25,61
21,54
19,64
22,65
25,59
18,61
19,65
25,58
20,57
18,65
24,63
22,56
23,54
22,51
20,59
19,59
23,60
24,52
25,61
19,56
23,51
20,50
25,59
20,52
19,50
21,50
20,53
25,51
20,60
19,54
18,52
19,64
21,54
20,59
22,59
18,60
21,60
25,64
24,52
18,58
24,50
19,51
20,59
20,62
18,51
19,51
20,55
21,59
21,65
20,63
24,61
25,57
25,62
20,53
19,50
18,62
20,63
18,58
20,50
20,58
24,57
18,52
21,54
18,65
21,62
19,59
24,51
25,61
22,52
19,52
19,56
22,50
18,62
22,55
25,54
19,53
24,65
19,61
20,61
25,60
21,56
20,52
23,64
25,61
24,51
22,62
21,51
19,61
25,50
24,53
18,57
20,61
25,58
19,60
20,61
19,63
20,51
19,54
24,57
20,53
21,55
21,63
23,52
19,50
24,53
21,53
25,65
19,53
21,61
19,52
22,64
21,50
18,58
22,55
22,57
18,58
25,59
22,55
25,53
21,65
20,60
19,55
22,51
24,53
22,50
21,59
20,58
18,53
24,59
25,63
20,58
25,59
20,54
22,64
20,56
23,59
24,55
22,50
19,58
19,55
24,59
21,60
23,64
21,65
21,51
25,56
25,63
21,50
23,65
20,61
24,56
22,60
24,56
20,58
22,63
19,63
24,53
22,50
19,62
20,64
23,51
23,59
18,59
22,61
21,51
20,59
20,63
23,54
20,58
18,64
24,65
25,61
21,65
19,62
22,58
19,65
19,63
20,54
25,63
19,59
20,52
18,53
20,61
25,58
25,55
21,50
20,50
23,50
23,59
20,63
25,65
25,51
22,51
18,62
25,61
21,55
22,59
18,50
19,50
25,50
23,58
24,53
19,55
21,60
19,53
21,65
19,54
20,65
25,51
23,64
18,57
23,60
21,54
23,50
24,63
22,53
23,53
18,58
24,57
20,50
23,62
22,63
24,58
18,61
21,59
25,60
20,62
20,54
22,65
22,57
21,50
21,62
22,53
24,56
20,63
22,52
25,61
24,51
18,64
19,64
22,63
19,61
21,52
21,52
25,61
23,62
22,57
19,60
18,64
25,59
25,52
25,51
24,62
24,56
25,59
22,61
25,53
21,57
21,65
20,60
25,65
25,65
23,53
22,52
20,62
18,59
18,59
23,53
25,58
25,61
25,55
24,50
24,54
22,60
24,59
19,53
25,55
24,55
19,53
21,58
23,58
24,56
23,60
21,57
20,62
18,57
23,55
19,57
21,64
25,52
18,54
21,54
22,52
24,50
18,62
21,53
25,50
21,52
19,57
20,54
18,55
20,57
18,61
18,53
19,51
25,56
18,51
18,58
22,59
18,59
22,50
19,60
25,54
19,52
22,62
19,57
22,55
21,58
20,57
24,54
24,54
25,60
22,61
22,57
21,55
21,59
23,54
18,63
21,55
22,65
19,62
22,56
21,60
21,60
23,63
20,57
19,56
23,54
20,57
23,61
22,59
20,58
25,52
24,50
20,60
21,52
20,57
23,55
21,54
23,64
18,65
22,65
23,65
24,55
21,55
22,54
21,57
24,55
19,63
18,53
19,56
23,59
25,54
22,63
25,63
25,64
23,61
23,52
23,53
25,62
22,64
22,63
18,65
23,50
25,54
21,50
22,59
21,63
22,50
20,55
19,58
25,52
20,62
21,65
23,54
19,62
19,65
24,53
24,55
19,56
18,61
24,59
19,51
18,51
21,56
18,52
19,51
24,53
24,57
18,52
18,58
20,61
25,64
20,51
18,65
24,56
24,58
18,65
18,58
22,61
19,62
25,64
20,59
18,60
22,56
25,62
21,56
22,55
19,50
18,64
23,56
23,53
20,56
23,59
18,58
25,61
25,63
21,54
22,65
19,54
24,65
23,51
24,54
21,55
23,54
22,53
22,65
18,59
25,61
24,58
21,54
24,62
24,53
18,58
23,65
19,56
24,61
19,53
21,64
21,52
21,50
21,50
18,52
23,62
20,55
24,53
25,60
21,54
18,55
19,63
20,62
24,55
23,59
25,63
22,61
24,57
21,55
25,52
20,61
23,61
20,60
24,64
22,59
23,61
22,55
20,55
20,59
23,50
20,53
24,51
22,60
25,52
25,59
23,58
20,62
25,63
19,64
22,53
25,55
18,50
24,55
25,65
24,53
18,51
22,57
20,58
18,59
19,52
23,59
22,62
20,62
18,61
21,63
21,56
20,53
24,59
18,61
21,50
21,55
23,52
21,64
19,53
20,53
21,54
19,55
24,65
22,63
25,58
24,53
19,62
22,63
23,58
21,64
18,53
19,62
18,54
19,58
18,56
24,65
23,64
25,52
22,65
22,50
20,55
18,65
24,63
22,52
20,58
24,58
24,57
25,62
20,63
20,54
22,50
24,65
25,54
21,55
21,52
21,50
24,61
24,56
18,54
19,56
19,53
25,52
20,65
23,56
20,53
21,59
20,59
23,50
21,56
20,51
20,51
24,62
19,61
19,65
24,62
19,62
25,54
21,55
25,62
18,54
23,63
24,59
23,61
20,55
22,54
18,50
19,55
22,64
25,57
25,56
19,52
19,56
23,58
21,52
25,59
22,61
23,53
20,65
22,62
24,57
18,51
21,60
20,61
23,50
20,54
19,65
18,60
22,63
24,60
19,52
20,57
18,65
24,50
19,61
21,53
25,56
21,54
19,52
25,56
24,51
18,64
25,58
19,61
23,51
20,64
24,54
24,57
21,63
19,58
23,64
19,64
19,65
23,56
24,53
21,59
23,53
20,51
24,63
19,54
21,56
21,57
20,64
20,60
20,59
25,51
25,55
19,62
22,57
22,52
20,64
23,62
22,62
22,54
24,61
23,61
19,58
19,50
20,65
23,50
25,55
25,56
23,51
23,53
18,62
18,53
23,62
25,62
19,62
20,53
20,64
19,50
24,61
20,54
18,60
22,58
21,64
18,65
24,61
18,53
24,52
24,55
24,62
18,54
19,58
20,57
25,54
25,53
23,51
19,54
21,64
22,53
24,59
21,59
25,58
24,54
19,58
19,51
21,59
20,62
19,53
19,53
21,62
22,54
18,59
18,53
24,65
23,57
21,54
19,51
18,58
22,65
24,56
25,57
21,60
24,62
23,53
24,63
18,50
23,52
20,51
22,51
21,62
20,53
18,53
23,52
23,51
22,55
22,57
25,50
20,62
18,59
18,61
24,50
23,50
25,57
21,56
21,54
20,54
18,59
21,62
22,51
21,59
21,65
25,50
25,60
20,55
19,55
22,61
21,58
23,52
22,51
18,50
24,50
20,56
18,64
23,62
23,59
19,59
22,53
21,65
18,57
21,53
20,56
22,56
19,57
18,64
20,53
24,63
18,64
19,64
19,55
20,55
21,50
21,55
18,60
20,63
22,54
22,57
22,63
23,65
20,59
22,64
18,61
19,60
19,65
18,51
19,54
23,59
23,60
21,59
24,58
19,52
23,53
19,59
24,60
23,59
25,50
19,52
19,55
20,55
21,63
20,57
20,55
24,61
20,59
25,52
21,51
19,64
22,56
18,52
18,63
25,62
20,57
21,54
25,59
20,51
24,61
25,54
19,64
18,53
25,64
23,61
21,59
24,53
23,63
20,50
25,58
24,57
20,64
19,56
23,50
21,52
19,65
24,50
19,60
22,61
23,64
18,64
22,54
20,62
23,56
22,65
20,55
18,56
22,53
24,59
24,50
18,52
20,55
20,57
18,64
23,63
19,61
19,59
22,54
25,58
23,53
24,50
21,59
25,51
22,50
23,52
21,55
24,59
19,58
19,60
25,53
24,57
24,64
20,63
21,60
25,53
19,58
18,57
25,62
18,65
21,56
21,59
19,65
25,50
25,62
23,58
18,59
23,61
21,55
23,51
22,63
20,51
18,51
18,64
22,62
20,58
19,52
24,54
22,64
25,52
23,50
18,63
18,52
20,63
22,60
25,64
18,52
23,61
18,51
25,63
19,58
24,51
21,62
20,59
18,65
20,55
22,61
23,65
23,57
23,58
21,54
24,61
20,63
22,60
21,55
24,50
23,50
18,65
24,65
23,53
19,50
25,50
25,50
24,55
23,54
20,57
24,56
19,55
23,63
25,53
23,64
19,56
20,52
23,53
21,59
20,53
19,63
19,65
21,58
23,65
21,59
23,64
25,62
24,53
22,59
25,56
23,65
25,61
19,59
19,56
25,63
25,56
23,53
20,63
22,63
25,61
18,54
19,51
18,57
22,56
25,53
23,59
19,56
19,55
24,62
25,65
20,57
19,63
24,50
18,62
25,51
20,52
22,61
18,53
23,65
22,52
18,54
22,64
21,65
24,63
22,65
23,50
20,61
20,52
23,64
20,50
21,52
18,51
18,57
19,55
18,57
24,51
25,59
23,62
22,56
24,53
20,52
21,64
20,50
19,60
21,55
20,60
25,55
19,56
25,50
21,56
22,62
21,55
20,50
19,51
19,65
23,58
22,56
25,58
21,62
22,58
18,53
